"date","close","volume","open","high","low"
"16:00","1,049.15","1,558,835","1,045","1,058.50","1,043.11"
"2017/12/14","1049.1500","1558684.0000","1045.0000","1058.5000","1043.1100"
"2017/12/13","1040.6100","1220364.0000","1046.1200","1046.6650","1038.3800"
"2017/12/12","1040.4800","1279511.0000","1039.6300","1050.3100","1033.6897"
"2017/12/11","1041.1000","1190527.0000","1035.5000","1043.8000","1032.0504"
"2017/12/08","1037.0500","1288419.0000","1037.4900","1042.0500","1032.5222"
"2017/12/07","1030.9300","1458145.0000","1020.4300","1034.2400","1018.0710"
"2017/12/06","1018.3800","1258496.0000","1001.5000","1024.9700","1001.1400"
"2017/12/05","1005.1500","2066247.0000","995.9400","1020.6100","988.2800"
"2017/12/04","998.6800","1906058.0000","1012.6600","1016.1000","995.5700"
"2017/12/01","1010.1700","1908962.0000","1015.8000","1022.4897","1002.0200"
"2017/11/30","1021.4100","1723003.0000","1022.3700","1028.4899","1015.0000"
"2017/11/29","1021.6600","2442974.0000","1042.6800","1044.0800","1015.6500"
"2017/11/28","1047.4100","1421027.0000","1055.0900","1062.3750","1040.0000"
"2017/11/27","1054.2100","1307471.0000","1040.0000","1055.4600","1038.4400"
"2017/11/24","1040.6100","536996.0000","1035.8700","1043.1780","1035.0000"
"2017/11/22","1035.9600","746351.0000","1035.0000","1039.7060","1031.4300"
"2017/11/21","1034.4900","1096161.0000","1023.3100","1035.1100","1022.6550"
"2017/11/20","1018.3800","898389.0000","1020.2600","1022.6100","1017.5000"
"2017/11/17","1019.0900","1366936.0000","1034.0100","1034.4200","1017.7500"
"2017/11/16","1032.5000","1129424.0000","1022.5200","1035.9200","1022.5200"
"2017/11/15","1020.9100","847932.0000","1019.2100","1024.0900","1015.4200"
"2017/11/14","1026.0000","958708.0000","1022.5900","1026.8100","1014.1500"
"2017/11/13","1025.7500","885565.0000","1023.4200","1031.5800","1022.5700"
"2017/11/10","1028.0700","720674.0000","1026.4600","1030.7600","1025.2800"
"2017/11/09","1031.2600","1244701.0000","1033.9900","1033.9900","1019.6656"
"2017/11/08","1039.8500","1088395.0000","1030.5200","1043.5220","1028.4500"
"2017/11/07","1033.3300","1112123.0000","1027.2700","1033.9700","1025.1300"
"2017/11/06","1025.9000","1124757.0000","1028.9900","1034.8700","1025.0000"
"2017/11/03","1032.4800","1075134.0000","1022.1100","1032.6500","1020.3100"
"2017/11/02","1025.5800","1048584.0000","1021.7600","1028.0900","1013.0100"
"2017/11/01","1025.5000","1371619.0000","1017.2100","1029.6700","1016.9500"
"2017/10/31","1016.6400","1331265.0000","1015.2200","1024.0000","1010.4200"
"2017/10/30","1017.1100","2083490.0000","1014.0000","1024.9700","1007.5000"
"2017/10/27","1019.2700","5165922.0000","1009.1900","1048.3900","1008.2000"
"2017/10/26","972.5600","2027218.0000","980.0000","987.6000","972.2000"
"2017/10/25","973.3300","1210368.0000","968.3700","976.0900","960.5201"
"2017/10/24","970.5400","1206074.0000","970.0000","972.2300","961.0000"
"2017/10/23","968.4500","1471544.0000","989.5200","989.5200","966.1200"
"2017/10/20","988.2000","1176177.0000","989.4400","991.0000","984.5800"
"2017/10/19","984.4500","1312706.0000","986.0000","988.8800","978.3900"
"2017/10/18","992.8100","1057285.0000","991.7700","996.7200","986.9747"
"2017/10/17","992.1800","1290152.0000","990.2900","996.4400","988.5900"
"2017/10/16","992.0000","910246.0000","992.1000","993.9065","984.0000"
"2017/10/13","989.6800","1169584.0000","992.0000","997.2100","989.0000"
"2017/10/12","987.8300","1278357.0000","987.4500","994.1200","985.0000"
"2017/10/11","989.2500","1692843.0000","973.7200","990.7100","972.2500"
"2017/10/10","972.6000","968113.0000","980.0000","981.5700","966.0801"
"2017/10/09","977.0000","890620.0000","980.0000","985.4250","976.1100"
"2017/10/06","978.8900","1146207.0000","966.7000","979.4600","963.3600"
"2017/10/05","969.9600","1210427.0000","955.4900","970.9100","955.1800"
"2017/10/04","951.6800","951766.0000","957.0000","960.3900","950.6900"
"2017/10/03","957.7900","888303.0000","954.0000","958.0000","949.1400"
"2017/10/02","953.2700","1282850.0000","959.9800","962.5400","947.8400"
"2017/09/29","959.1100","1576365.0000","952.0000","959.7864","951.5100"
"2017/09/28","949.5000","997036.0000","941.3600","950.6900","940.5500"
"2017/09/27","944.4900","2237538.0000","927.7400","949.9000","927.7400"
"2017/09/26","924.8600","1666749.0000","923.7200","930.8200","921.1400"
"2017/09/25","920.9700","1855742.0000","925.4500","926.4000","909.7000"
"2017/09/22","928.5300","1052170.0000","927.7500","934.7300","926.4800"
"2017/09/21","932.4500","1227059.0000","933.0000","936.5300","923.8300"
"2017/09/20","931.5800","1535626.0000","922.9800","933.8800","922.0000"
"2017/09/19","921.8100","912967.0000","917.4200","922.4199","912.5500"
"2017/09/18","915.0000","1300759.0000","920.0100","922.0800","910.6000"
"2017/09/15","920.2900","2499466.0000","924.6600","926.4900","916.3600"
"2017/09/14","925.1100","1395497.0000","931.2500","932.7700","924.0000"
